group,variable,value
Local,Jan,69
Local,Feb,70
Local,Mar,77
Local,Apr,71
Local,May,37
Local,Jun,36
Local,Jul,39
Local,Aug,39
Local,Sep,55
Local,Oct,60
Local,Nov,68
Local,Dec,72
USA,Jan,7
USA,Feb,6
USA,Mar,3
USA,Apr,6
USA,May,23
USA,Jun,14
USA,Jul,19
USA,Aug,14
USA,Sep,9
USA,Oct,6
USA,Nov,8
USA,Dec,8
SA,Jan,0
SA,Feb,0
SA,Mar,0
SA,Apr,0
SA,May,8
SA,Jun,6
SA,Jul,6
SA,Aug,4
SA,Sep,2
SA,Oct,12
SA,Nov,0
SA,Dec,0
EU,Jan,20
EU,Feb,15
EU,Mar,14
EU,Apr,15
EU,May,23
EU,Jun,27
EU,Jul,22
EU,Aug,30
EU,Sep,27
EU,Oct,19
EU,Nov,19
EU,Dec,17
MEA,Jan,1
MEA,Feb,0
MEA,Mar,0
MEA,Apr,8
MEA,May,6
MEA,Jun,4
MEA,Jul,6
MEA,Aug,4
MEA,Sep,2
MEA,Oct,1
MEA,Nov,0
MEA,Dec,1
ASIA,Jan,3
ASIA,Feb,10
ASIA,Mar,6
ASIA,Apr,0
ASIA,May,3
ASIA,Jun,13
ASIA,Jul,8
ASIA,Aug,9
ASIA,Sep,5
ASIA,Oct,2
ASIA,Nov,5
ASIA,Dec,2
Business,Jan,78
Business,Feb,80
Business,Mar,85
Business,Apr,86
Business,May,85
Business,Jun,87
Business,Jul,70
Business,Aug,76
Business,Sep,87
Business,Oct,85
Business,Nov,87
Business,Dec,80
Tourists,Jan,22
Tourists,Feb,20
Tourists,Mar,15
Tourists,Apr,14
Tourists,May,15
Tourists,Jun,13
Tourists,Jul,30
Tourists,Aug,24
Tourists,Sep,13
Tourists,Oct,15
Tourists,Nov,13
Tourists,Dec,20
DR,Jan,70
DR,Feb,70
DR,Mar,75
DR,Apr,74
DR,May,69
DR,Jun,68
DR,Jul,74
DR,Aug,75
DR,Sep,68
DR,Oct,68
DR,Nov,64
DR,Dec,75
Agency,Jan,20
Agency,Feb,18
Agency,Mar,19
Agency,Apr,17
Agency,May,27
Agency,Jun,27
Agency,Jul,19
Agency,Aug,19
Agency,Sep,26
Agency,Oct,27
Agency,Nov,21
Agency,Dec,15
AC,Jan,10
AC,Feb,12
AC,Mar,6
AC,Apr,9
AC,May,4
AC,Jun,5
AC,Jul,7
AC,Aug,6
AC,Sep,6
AC,Oct,5
AC,Nov,15
AC,Dec,10
<20,Jan,2
<20,Feb,2
<20,Mar,4
<20,Apr,2
<20,May,2
<20,Jun,1
<20,Jul,1
<20,Aug,2
<20,Sep,2
<20,Oct,4
<20,Nov,2
<20,Dec,5
20-35,Jan,25
20-35,Feb,27
20-35,Mar,37
20-35,Apr,35
20-35,May,25
20-35,Jun,25
20-35,Jul,27
20-35,Aug,28
20-35,Sep,24
20-35,Oct,30
20-35,Nov,24
20-35,Dec,30
35-55,Jan,48
35-55,Feb,49
35-55,Mar,42
35-55,Apr,48
35-55,May,54
35-55,Jun,55
35-55,Jul,53
35-55,Aug,51
35-55,Sep,55
35-55,Oct,46
35-55,Nov,55
35-55,Dec,43
>55,Jan,25
>55,Feb,22
>55,Mar,17
>55,Apr,15
>55,May,19
>55,Jun,19
>55,Jul,19
>55,Aug,19
>55,Sep,19
>55,Oct,20
>55,Nov,19
>55,Dec,22
